"","INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","INSTURL","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","OPEID","SAT_AVG","SATMTMID","SATVRMID","SATWRMID","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_HISPANIC"
"1","Alabama A & M University","Normal","AL","34.783368","-86.568502","18","17","17","NULL","www.aamu.edu/","0.8738","9366","17496",100200,"849","420","425","NULL","46.8400001525878","47.9799995422363","1.48000001907348","3.78999996185302"
"2","University of Alabama at Birmingham","Birmingham","AL","33.505697","-86.799345","25","26","23","NULL","www.uab.edu","0.5814","8040","18368",105200,"1125","575","560","NULL","69.0199966430664","27.7600002288818","1.10000002384185","2.02999997138977"
"3","Amridge University","Montgomery","AL","32.362609","-86.17401","NULL","NULL","NULL","NULL","www.amridgeuniversity.edu","NULL","7180","7180",2503400,"NULL","NULL","NULL","NULL","70.8799972534179","22.5300006866455","1.28999996185302","6.94000005722046"
"4","University of Alabama in Huntsville","Huntsville","AL","34.724557","-86.640449","28","29","26","NULL","www.uah.edu","0.7628","9842","20612",105500,"1257","610","590","NULL","76.3799972534179","18.9799995422363","1.41999995708465","2.54999995231628"
"5","Alabama State University","Montgomery","AL","32.364317","-86.295677","17","17","16","NULL","www.alasu.edu","0.459","9220","16156",100500,"825","410","415","NULL","42.6899986267089","52.3199996948242","1.40999996662139","4.09000015258789"
"6","The University of Alabama","Tuscaloosa","AL","33.211875","-87.545978","27","28","26","NULL","www.ua.edu/","0.5259","10470","26950",105100,"1202","555","550","NULL","75.3499984741211","21.0599994659423","1.20000004768371","2.41000008583068"
"7","Central Alabama Community College","Alexander City","AL","32.92478","-85.945266","NULL","NULL","NULL","NULL","www.cacc.edu","NULL","4380","7890",100700,"NULL","NULL","NULL","NULL","71.5100021362304","26.8999996185302","0.2199999988079","1.00999999046325"
"8","Athens State University","Athens","AL","34.806793","-86.964698","NULL","NULL","NULL","NULL","www.athens.edu","NULL","NULL","NULL",100800,"NULL","NULL","NULL","NULL","83.8899993896484","12.2600002288818","0.64999997615814","2.40000009536743"
"9","Auburn University at Montgomery","Montgomery","AL","32.36736","-86.177544","22","22","20","NULL","www.aum.edu","0.7659","9640","20710",831000,"1009","470","465","NULL","59.9700012207031","37.2099990844726","0.91000002622604","1.62000000476837"
"10","Auburn University","Auburn","AL","32.599378","-85.488258","27","29","26","NULL","www.auburn.edu","0.8054","10696","28840",100900,"1217","585","575","NULL","75.9000015258789","19.7999992370605","1.64999997615814","2.89000010490417"
"11","Birmingham Southern College","Birmingham","AL","33.513774","-86.850552","26","26","24","NULL","www.bsc.edu/","0.4839","34448","34448",101200,"1150","530","555","NULL","78.9000015258789","17.4099998474121","1.38999998569488","2.46000003814697"
"12","Chattahoochee Valley Community College","Phenix City","AL","32.42391","-85.031485","NULL","NULL","NULL","NULL","www.cv.edu","NULL","4254","7764",1218200,"NULL","NULL","NULL","NULL","57.5299987792968","38.6800003051757","0.85000002384185","2.85999989509582"
"13","Concordia College Alabama","Selma","AL","32.425647","-87.019145","NULL","NULL","NULL","NULL","www.ccal.edu/","0.2363","10320","10320",1055400,"NULL","NULL","NULL","NULL","39.2099990844726","58.5","0.56000000238418","1.62000000476837"
"14","South University-Montgomery","Montgomery","AL","32.342684","-86.216488","NULL","NULL","NULL","NULL","www.southuniversity.edu/montgomery#location=Montgomery,%20AL","NULL","17306","17306",1303906,"NULL","NULL","NULL","NULL","65.2200012207031","28.5599994659423","1.74000000953674","6.6100001335144"
"15","Enterprise State Community College","Enterprise","AL","31.297496","-85.836956","NULL","NULL","NULL","NULL","www.escc.edu","NULL","4380","7890",101500,"NULL","NULL","NULL","NULL","74.0800018310547","21.0499992370605","1.20000004768371","3.25999999046325"
"16","Coastal Alabama Community College","Bay Minette","AL","30.851343","-87.778193","NULL","NULL","NULL","NULL","www.coastalalabama.edu","NULL","4380","7890",106000,"NULL","NULL","NULL","NULL","76.1699981689453","20.2999992370605","0.76999998092651","1.55999994277954"
"17","Faulkner University","Montgomery","AL","32.384181","-86.21641","21","20","19","NULL","www.faulkner.edu","0.4538","20130","20130",100300,"972","500","500","NULL","64.8799972534179","31.8899993896484","1.04999995231628","1.80999994277954"
"18","Gadsden State Community College","Gadsden","AL","33.994001","-85.991438","NULL","NULL","NULL","NULL","www.gadsdenstate.edu","NULL","3264","6072",101700,"NULL","NULL","NULL","NULL","80.3899993896484","16.829999923706","0.44999998807907","2.17000007629394"
"19","New Beginning College of Cosmetology","Albertville","AL","34.27871","-86.196931","NULL","NULL","NULL","NULL","www.nbccosmetology.com","NULL","NULL","NULL",4187200,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"20","George C Wallace Community College-Dothan","Dothan","AL","31.315274","-85.465836","NULL","NULL","NULL","NULL","www.wallace.edu","NULL","4320","7830",101800,"NULL","NULL","NULL","NULL","69.3300018310547","27.7600002288818","0.57999998331069","1.91999995708465"
"21","George C Wallace State Community College-Hanceville","Hanceville","AL","34.072439","-86.781935","NULL","NULL","NULL","NULL","www.wallacestate.edu","NULL","4380","7890",787100,"NULL","NULL","NULL","NULL","90.5699996948242","6.61999988555908","0.31999999284744","2.54999995231628"
"22","George C Wallace State Community College-Selma","Selma","AL","32.445917","-87.013294","NULL","NULL","NULL","NULL","www.wccs.edu","NULL","4080","7590",569900,"NULL","NULL","NULL","NULL","43.1500015258789","55.3199996948242","0.33000001311302","1.11000001430511"
"23","Herzing University-Birmingham","Birmingham","AL","33.468466","-86.832465","NULL","NULL","NULL","NULL","www.herzing.edu/","0.9747","13390","13390",962107,"NULL","NULL","NULL","NULL","50.3800010681152","47.1599998474121","0.70999997854232","1.67999994754791"
"24","Huntingdon College","Montgomery","AL","32.351034","-86.284366","22","21","20","NULL","www.huntingdon.edu","0.5676","25800","25800",101900,"1001","475","473","NULL","73.1999969482422","23.6700000762939","0.93000000715255","1.90999996662139"
"25","Heritage Christian University","Florence","AL","34.856153","-87.663051","NULL","NULL","NULL","NULL","www.hcu.edu","0.3333","9792","9792",2199700,"NULL","NULL","NULL","NULL","80.4800033569336","15.039999961853","0.81000000238418","4.3600001335144"
"26","J. F. Drake State Community and Technical College","Huntsville","AL","34.771858","-86.572885","NULL","NULL","NULL","NULL","www.drakestate.edu","NULL","4350","7860",526000,"NULL","NULL","NULL","NULL","61.9900016784668","33.2900009155273","1.29999995231628","2.1800000667572"
"27","J F Ingram State Technical College","Deatsville","AL","32.582312","-86.392369","NULL","NULL","NULL","NULL","www.istc.edu","NULL","4896","4896",3002500,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"28","Jacksonville State University","Jacksonville","AL","33.822938","-85.765321","23","24","22","NULL","www.jsu.edu/","0.5308","7500","14700",102000,"1062","495","500","NULL","76.9599990844726","19.7000007629394","0.6700000166893","2.66000008583068"
"29","Jefferson Davis Community College","Brewton","AL","31.101254","-87.08534","NULL","NULL","NULL","NULL","www.coastalalabama.edu","NULL","4088","7598",102100,"NULL","NULL","NULL","NULL","66.8799972534179","28.9599990844726","0.43000000715255","1.22000002861022"
"30","Jefferson State Community College","Birmingham","AL","33.652535","-86.707233","NULL","NULL","NULL","NULL","www.jeffersonstate.edu/","NULL","4440","7950",102200,"NULL","NULL","NULL","NULL","70.6399993896484","26.6900005340576","0.80000001192092","1.80999994277954"
"31","John C Calhoun State Community College","Tanner","AL","34.645844","-86.949674","NULL","NULL","NULL","NULL","calhoun.edu/","NULL","4460","7970",101300,"NULL","NULL","NULL","NULL","75.8499984741211","19.3700008392334","1.14999997615814","2.54999995231628"
"32","Judson College","Marion","AL","32.629253","-87.315206","22","22","20","NULL","www.judson.edu","0.5755","17376","17376",102300,"1013","531","581","NULL","72.3000030517578","24.6399993896484","0.56999999284744","2.70000004768371"
"33","Lawson State Community College-Birmingham Campus","Birmingham","AL","33.450814","-86.888844","NULL","NULL","NULL","NULL","www.lawsonstate.edu","NULL","4380","7890",105900,"NULL","NULL","NULL","NULL","33.5200004577636","64.4899978637695","0.47999998927116","1.37999999523162"
"34","University of West Alabama","Livingston","AL","32.588132","-88.186329","21","20","19","NULL","www.uwa.edu","0.531","8876","16162",102400,"969","460","480","NULL","55.4900016784668","42.4799995422363","0.40000000596046","1.71000003814697"
"35","Lurleen B Wallace Community College","Andalusia","AL","31.322947","-86.452262","NULL","NULL","NULL","NULL","www.lbwcc.edu","NULL","4380","7890",898800,"NULL","NULL","NULL","NULL","74.4499969482422","23.579999923706","0.28999999165534","1.17999994754791"
"36","Marion Military Institute","Marion","AL","32.623734","-87.322041","23","23","22","NULL","www.marionmilitary.edu","0.6431","9418","15418",102600,"1066","555","540","NULL","72.2699966430664","21.4200000762939","1.62000000476837","7.42999982833862"
"37","Miles College","Fairfield","AL","33.482442","-86.908751","NULL","NULL","NULL","NULL","www.miles.edu","NULL","11604","11604",102800,"NULL","NULL","NULL","NULL","35.8800010681152","60.7200012207031","0.93999999761581","2.81999993324279"
"38","University of Mobile","Mobile","AL","30.793247","-88.128934","22","22","20","NULL","www.umobile.edu","0.6193","21400","21400",102900,"1029","500","485","NULL","71.0400009155273","25.1000003814697","1.02999997138977","2.31999993324279"
"39","University of Montevallo","Montevallo","AL","33.10625","-86.865099","23","25","22","NULL","www.montevallo.edu","0.6542","12040","24310",100400,"1069","520","530","NULL","77.8000030517578","19.2999992370605","0.75999999046325","2.07999992370605"
"40","Northwest-Shoals Community College","Muscle Shoals","AL","34.739788","-87.678089","NULL","NULL","NULL","NULL","https://www.nwscc.edu","NULL","4351","7861",569700,"NULL","NULL","NULL","NULL","85.7900009155273","11.1599998474121","0.28000000119209","2.23000001907348"
"41","University of North Alabama","Florence","AL","34.806738","-87.681361","22","23","21","NULL","www.una.edu","0.5574","8114","14450",101600,"1028","483","475","NULL","83.7600021362304","13.2200002670288","0.55000001192092","2.04999995231628"
"42","Northeast Alabama Community College","Rainsville","AL","34.545471","-85.911664","NULL","NULL","NULL","NULL","https://www.nacc.edu","NULL","4380","7890",103100,"NULL","NULL","NULL","NULL","92.6299972534179","2.56999993324279","0.2199999988079","2.86999988555908"
"43","Oakwood University","Huntsville","AL","34.756344","-86.652705","19","19","18","NULL","www.oakwood.edu","0.4837","16750","16750",103300,"886","425","455","NULL","54.4000015258789","34.9099998474121","3.17000007629394","10.0100002288818"
"44","Alabama Southern Community College","Monroeville","AL","31.488925","-87.326352","NULL","NULL","NULL","NULL","www.coastalalabama.edu","NULL","4380","7890",103400,"NULL","NULL","NULL","NULL","52.25","46.1500015258789","0.23999999463558","0.93999999761581"
"45","Prince Institute-Southeast","Elmhurst","IL","32.383106","-86.162237","NULL","NULL","NULL","NULL","princeinstitute.edu","NULL","NULL","NULL",2296000,"NULL","NULL","NULL","NULL","71.8600006103515","25.2000007629394","1.01999998092651","1.73000001907348"
"46","Reid State Technical College","Evergreen","AL","31.460265","-86.964797","NULL","NULL","NULL","NULL","www.rstc.edu","NULL","4440","7950",569200,"NULL","NULL","NULL","NULL","61.310001373291","36.5400009155273","0.30000001192092","0.93000000715255"
"47","Bishop State Community College","Mobile","AL","30.693972","-88.056982","NULL","NULL","NULL","NULL","www.bishop.edu","NULL","4380","8070",103000,"NULL","NULL","NULL","NULL","50.0699996948242","46.3800010681152","1.07000005245208","1.25"
"48","Samford University","Birmingham","AL","33.464128","-86.791799","26","28","24","NULL","www.samford.edu","0.9138","29402","29402",103600,"1170","559","570","NULL","80.9100036621093","14.6999998092651","1.69000005722045","3.25"
"49","Selma University","Selma","AL","32.420387","-87.032392","NULL","NULL","NULL","NULL","selmauniversity.edu","NULL","6730","6730",4067300,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"50","Shelton State Community College","Tuscaloosa","AL","33.120531","-87.56148","NULL","NULL","NULL","NULL","www.sheltonstate.edu","NULL","4107","7617",569100,"NULL","NULL","NULL","NULL","60.9099998474121","36.8499984741211","0.62999999523162","1.35000002384185"
"51","Snead State Community College","Boaz","AL","34.201495","-86.169897","NULL","NULL","NULL","NULL","www.snead.edu","NULL","4440","7950",103800,"NULL","NULL","NULL","NULL","90.7600021362304","4.28999996185302","0.25999999046325","5.59000015258789"
"52","University of South Alabama","Mobile","AL","30.696033","-88.178711","22","25","22","NULL","www.southalabama.edu","0.805","7548","14796",105700,"1011","510","515","NULL","71.4300003051757","24.6800003051757","1.46000003814697","1.70000004768371"
"53","Spring Hill College","Mobile","AL","30.694751","-88.138199","25","26","23","NULL","www.shc.edu","0.4353","35794","35794",104100,"1121","545","550","NULL","72.6600036621093","22.5400009155273","1.75999999046325","4.75"
"54","Southeastern Bible College","Birmingham","AL","33.378935","-86.749045","21","19","17","NULL","sebc.edu/","1","12600","12600",2270400,"970","NULL","NULL","NULL","74.4700012207031","22.1299991607666","0.82999998331069","2.72000002861022"
"55","Stillman College","Tuscaloosa","AL","33.200006","-87.585278","16","16","15","NULL","www.stillman.edu","0.4192","10418","10418",104400,"765","420","405","NULL","45.75","49.0499992370605","1.44000005722045","4.44000005722045"
"56","Talladega College","Talladega","AL","33.433472","-86.112704","NULL","NULL","NULL","NULL","www.talladega.edu","NULL","12340","12340",104600,"NULL","NULL","NULL","NULL","43.0900001525878","52.1399993896484","1.07000005245208","4.71000003814697"
"57","H Councill Trenholm State Community College","Montgomery","AL","32.350109","-86.343057","NULL","NULL","NULL","NULL","www.trenholmstate.edu","NULL","4134","7644",573400,"NULL","NULL","NULL","NULL","44.1199989318847","53.6800003051757","0.63999998569488","1.20000004768371"
"58","Troy University","Troy","AL","31.800672","-85.957094","21","21","20","NULL","www.troy.edu","0.9125","8260","15484",104700,"992","540","503","NULL","62.0200004577636","34","1.07000005245208","2.81999993324279"
"59","Troy University","Troy","AL","31.800672","-85.957094","21","21","20","NULL","www.troy.edu","0.9125","8260","15484",104700,"992","540","503","NULL","62.0200004577636","34","1.07000005245208","2.81999993324279"
"60","Troy University","Troy","AL","31.800672","-85.957094","21","21","20","NULL","www.troy.edu","0.9125","8260","15484",104700,"992","540","503","NULL","NULL","NULL","NULL","NULL"
"61","Tuskegee University","Tuskegee","AL","32.4309","-85.708492","22","20","20","NULL","www.tuskegee.edu","0.4999","20015","20015",105000,"1006","500","500","NULL","42.8499984741211","47.1599998474121","2.84999990463256","8.98999977111816"
"62","United States Sports Academy","Daphne","AL","30.639329","-87.91163","NULL","NULL","NULL","NULL","www.ussa.edu","NULL","NULL","NULL",2170600,"NULL","NULL","NULL","NULL","73.2900009155273","16.7099990844726","3.1800000667572","9.05000019073486"
"63","Bevill State Community College","Jasper","AL","33.836929","-87.266406","NULL","NULL","NULL","NULL","www.bscc.edu","NULL","4410","7920",573300,"NULL","NULL","NULL","NULL","82.7399978637695","15.539999961853","0.25","1.12000000476837"
"64","University of Alaska Anchorage","Anchorage","AK","61.190163","-149.82619","NULL","NULL","NULL","NULL","www.uaa.alaska.edu","0.8285","5784","17990",1146200,"NULL","NULL","NULL","NULL","73.6600036621093","4.17999982833862","4.26000022888183","5.09000015258789"
"65","Alaska Bible College","Palmer","AK","61.598553","-149.111972","NULL","NULL","NULL","NULL","www.akbible.edu/","NULL","9300","9300",884300,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"66","University of Alaska Fairbanks","Fairbanks","AK","64.85756","-147.823146","23","21","22","NULL","www.uaf.edu","0.7347","5976","18184",106300,"1060","535","540","NULL","69.3499984741211","4.67999982833862","2.49000000953674","4.67999982833862"
"67","University of Alaska Southeast","Juneau","AK","58.384846","-134.638255","NULL","NULL","NULL","NULL","www.uas.alaska.edu","0.4896","8415","22550",106500,"NULL","NULL","NULL","NULL","73.9300003051757","1.35000002384185","3.58999991416931","4.61999988555908"
"68","Alaska Pacific University","Anchorage","AK","61.190968","-149.804168","NULL","NULL","NULL","NULL","www.alaskapacific.edu","0.5506","20310","20310",106100,"NULL","NULL","NULL","NULL","73.1299972534179","4.44999980926513","4.1100001335144","6.88999986648559"
"69","AVTEC-Alaska's Institute of Technology","Seward","AK","60.110626","-149.444487","NULL","NULL","NULL","NULL","www.avtec.edu/","NULL","NULL","NULL",3160300,"NULL","NULL","NULL","NULL","54.9500007629394","1.70000004768371","2.26999998092651","2.6800000667572"
"70","Charter College","Vancouver","WA","45.617798","-122.494766","NULL","NULL","NULL","NULL","www.chartercollege.edu","NULL","21887","21887",2576900,"NULL","NULL","NULL","NULL","71.1699981689453","5.8600001335144","5.40000009536743","5.84999990463256"
"71","Alaska Career College","Anchorage","AK","61.181443","-149.856954","NULL","NULL","NULL","NULL","www.alaskacareercollege.edu","NULL","NULL","NULL",2541000,"NULL","NULL","NULL","NULL","68.2300033569336","5.82000017166137","5.15000009536743","5.6100001335144"
"72","Empire Beauty School-Tucson","Tucson","AZ","32.235657","-110.927187","NULL","NULL","NULL","NULL","www.empire.edu","NULL","NULL","NULL",966403,"NULL","NULL","NULL","NULL","73.7799987792968","3.20000004768371","1.88999998569488","32.8199996948242"
"73","Thunderbird School of Global Management","Glendale","AZ","33.620887","-112.180861","NULL","NULL","NULL","NULL","https://thunderbird.asu.edu/","NULL","NULL","NULL",108160,"NULL","NULL","NULL","NULL","81.0800018310547","5.55999994277954","5.03999996185302","11.3199996948242"
"74","American Institute of Trucking","Phoenix","AZ","33.426692","-112.162577","NULL","NULL","NULL","NULL","www.ait-schools.com","NULL","NULL","NULL",2317800,"NULL","NULL","NULL","NULL","71.7699966430664","6.90999984741211","3.24000000953674","26.6599998474121"
"75","Carrington College-Phoenix North","Phoenix","AZ","33.561689","-112.116105","NULL","NULL","NULL","NULL","www.carrington.edu","0.8451","NULL","NULL",2100600,"NULL","NULL","NULL","NULL","68.870002746582","3.39000010490417","1.85000002384185","32.2999992370605"
"76","Carrington College-Mesa","Mesa","AZ","33.39248","-111.853218","NULL","NULL","NULL","NULL","www.carrington.edu","0.4413","NULL","NULL",2100611,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"77","Carrington College-Tucson","Tucson","AZ","32.224391","-110.983056","NULL","NULL","NULL","NULL","www.carrington.edu","0.6748","NULL","NULL",2100607,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"78","CollegeAmerica-Flagstaff","Flagstaff","AZ","35.194495","-111.657673","NULL","NULL","NULL","NULL","www.collegeamerica.edu","NULL","16968","16968",3120300,"NULL","NULL","NULL","NULL","44.0800018310546","1.91999995708465","0.97000002861022","14.6099996566772"
"79","Arizona Academy of Beauty-East","Tucson","AZ","32.237253","-110.872305","NULL","NULL","NULL","NULL","www.arizonaacademy.com","NULL","NULL","NULL",886400,"NULL","NULL","NULL","NULL","71.5400009155273","3.99000000953674","1.8400000333786","35.8899993896484"
"80","Arizona Automotive Institute","Glendale","AZ","33.537249","-112.157344","NULL","NULL","NULL","NULL","www.aai.edu","NULL","NULL","NULL",2306807,"NULL","NULL","NULL","NULL","63.1399993896484","4.51999998092651","2.56999993324279","35.1800003051757"
"81","Brookline College-Phoenix","Phoenix","AZ","33.566102","-112.112473","NULL","NULL","NULL","NULL","www.brooklinecollege.edu","NULL","NULL","NULL",2218800,"NULL","NULL","NULL","NULL","65.5899963378906","4.05999994277954","1.66999995708465","40.7299995422363"
"82","Arizona State University-Tempe","Tempe","AZ","33.417721","-111.934383","25","25","26","NULL","www.asu.edu/","0.825","10370","26470",108100,"1147","585","565","NULL","78.7600021362304","3.49000000953674","2.90000009536743","19.2000007629394"
"83","Arizona Western College","Yuma","AZ","32.689306","-114.495968","NULL","NULL","NULL","NULL","www.azwestern.edu","NULL","2600","9590",107100,"NULL","NULL","NULL","NULL","62.8400001525879","2.75","1.08000004291534","61.0499992370605"
"84","University of Arizona","Tucson","AZ","32.232672","-110.950815","NULL","NULL","NULL","NULL","www.arizona.edu","0.7862","11769","34967",108300,"NULL","NULL","NULL","NULL","77.5100021362304","3.34999990463256","3.15000009536743","22.5200004577636"
"85","Southwest University of Visual Arts-Tucson","Tucson","AZ","32.252879","-110.927265","NULL","NULL","NULL","NULL","www.suva.edu","NULL","23069","23069",2491500,"NULL","NULL","NULL","NULL","76.1699981689453","3.09999990463256","2.10999989509582","29.2199993133544"
"86","Central Arizona College","Coolidge","AZ","32.957092","-111.652501","NULL","NULL","NULL","NULL","www.centralaz.edu","NULL","2520","10980",728300,"NULL","NULL","NULL","NULL","66.9899978637695","3.26999998092651","0.98000001907348","32.7099990844726"
"87","Brown Mackie College-Tucson","Tucson","AZ","32.236736","-110.895086","NULL","NULL","NULL","NULL","www.brownmackie.edu/locations/tucson","NULL","NULL","NULL",4051325,"NULL","NULL","NULL","NULL","67.5999984741211","3.35999989509582","1.66999995708465","38.9000015258789"
"88","Charles of Italy Beauty College","Lake Havasu City","AZ","34.477485","-114.332686","NULL","NULL","NULL","NULL","www.charlesofitaly.edu","NULL","NULL","NULL",2280500,"NULL","NULL","NULL","NULL","89.8199996948242","0.62000000476837","0.87999999523162","11.0100002288818"
"89","Cochise County Community College District","Sierra Vista","AZ","31.564597","-110.246946","NULL","NULL","NULL","NULL","https://www.cochise.edu","NULL","1896","6000",107200,"NULL","NULL","NULL","NULL","74.3099975585937","4.94000005722045","1.72000002861022","37.9700012207031"
"90","Empire Beauty School-Flagstaff","Flagstaff","AZ","35.197151","-111.625936","NULL","NULL","NULL","NULL","www.empire.edu","NULL","NULL","NULL",1054207,"NULL","NULL","NULL","NULL","81.4400024414062","2.09999990463256","1.71000003814697","16.7299995422363"
"91","Empire Beauty School-Chandler","Chandler","AZ","33.347586","-111.860423","NULL","NULL","NULL","NULL","www.empire.edu","NULL","NULL","NULL",1054208,"NULL","NULL","NULL","NULL","81.4400024414062","2.09999990463256","1.71000003814697","16.7299995422363"
"92","Cortiva Institute-Tucson","Tucson","AZ","32.21901","-110.856785","NULL","NULL","NULL","NULL","www.cortiva.com/","NULL","NULL","NULL",2582700,"NULL","NULL","NULL","NULL","77.870002746582","4.6100001335144","2.11999988555908","25.1399993896484"
"93","Avalon School of Cosmetology-Mesa","Mesa","AZ","33.376583","-111.858305","NULL","NULL","NULL","NULL","avalon.edu/locations/mesa-az/","NULL","NULL","NULL",1085800,"NULL","NULL","NULL","NULL","80.9899978637695","3.03999996185302","2","19.5400009155273"
"94","Eastern Arizona College","Thatcher","AZ","32.843664","-109.76234","NULL","NULL","NULL","NULL","www.eac.edu","NULL","2400","9360",107300,"NULL","NULL","NULL","NULL","66.4400024414062","3.38000011444091","0.87999999523162","22.6499996185302"
"95","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","34.616766","-112.449741","NULL","NULL","NULL","NULL","prescott.erau.edu/","0.7634","33826","33826",147902,"NULL","NULL","NULL","NULL","78.7900009155273","9.75","3.64000010490417","11.329999923706"
"96","School of Architecture at Taliesin","Scottsdale","AZ","33.607097","-111.845411","NULL","NULL","NULL","NULL","www.taliesin.edu","NULL","NULL","NULL",2533200,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"97","Glendale Community College","Glendale","AZ","33.570226","-112.190735","NULL","NULL","NULL","NULL","www.gccaz.edu","NULL","2094","7878",107600,"NULL","NULL","NULL","NULL","75.1699981689453","4.19999980926513","2.20000004768371","27.1100006103515"
"98","Grand Canyon University","Phoenix","AZ","33.513231","-112.129929","NULL","NULL","NULL","NULL","www.gcu.edu","0.5694","17050","17050",107400,"NULL","NULL","NULL","NULL","75.2600021362304","10.3199996948242","2.61999988555908","15.7200002670288"
"99","Olympian Academy of Cosmetology","Tempe","AZ","33.381388","-111.939931","NULL","NULL","NULL","NULL","www.internationalacademyofhairdesign.com","NULL","NULL","NULL",1300519,"NULL","NULL","NULL","NULL","79.1600036621093","3.41000008583068","2.03999996185302","22.1000003814697"
"100","GateWay Community College","Phoenix","AZ","33.449686","-111.997077","NULL","NULL","NULL","NULL","www.gatewaycc.edu","NULL","2094","7878",830300,"NULL","NULL","NULL","NULL","69.8000030517578","4.6100001335144","1.95000004768371","32.4099998474121"
"101","Mesa Community College","Mesa","AZ","33.390323","-111.871255","NULL","NULL","NULL","NULL","www.mesacc.edu","NULL","2094","7878",107700,"NULL","NULL","NULL","NULL","77.8300018310547","3.15000009536743","2.35999989509582","19.8099994659423"
"102","Mohave Community College","Kingman","AZ","35.270996","-114.029838","NULL","NULL","NULL","NULL","https://www.mohave.edu","NULL","2112","6972",1186400,"NULL","NULL","NULL","NULL","89.2300033569336","0.72000002861022","0.94999998807907","11.6800003051757"
"103","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","33.684428","-112.121336","NULL","NULL","NULL","NULL","www.uti.edu/","NULL","NULL","NULL",2100500,"NULL","NULL","NULL","NULL","81.5800018310547","7.42999982833862","2.57999992370605","12.7399997711181"
"104","Dine College","Tsaile","AZ","36.293328","-109.21684","NULL","NULL","NULL","NULL","www.dinecollege.edu","NULL","725","725",824600,"NULL","NULL","NULL","NULL","5.34000015258789","0.18999999761581","0.15000000596046","1.94000005722045"
"105","Northern Arizona University","Flagstaff","AZ","35.188449","-111.653724","NULL","NULL","NULL","NULL","https://nau.edu/","0.7804","10764","24144",108200,"NULL","NULL","NULL","NULL","74.9000015258789","2.47000002861022","2.22000002861022","18.75"
"106","Northland Pioneer College","Holbrook","AZ","34.93031","-110.142199","NULL","NULL","NULL","NULL","www.npc.edu","NULL","1760","8120",1186200,"NULL","NULL","NULL","NULL","50.8699989318847","0.9200000166893","0.37999999523162","9.93000030517578"
"107","Ottawa University-Phoenix","Phoenix","AZ","33.572173","-112.113001","NULL","NULL","NULL","NULL","www.ottawa.edu","NULL","NULL","NULL",193701,"NULL","NULL","NULL","NULL","80.3199996948242","8.35999965667724","1.87999999523162","12.7399997711181"
"108","Phoenix College","Phoenix","AZ","33.481361","-112.088293","NULL","NULL","NULL","NULL","www.phoenixcollege.edu","NULL","2094","7878",107800,"NULL","NULL","NULL","NULL","65.9700012207031","5.30000019073486","1.89999997615814","39.2999992370605"
"109","Cortiva Institute-Scottsdale","Scottsdale","AZ","33.466153","-111.90807","NULL","NULL","NULL","NULL","www.cortiva.com/","NULL","NULL","NULL",2623800,"NULL","NULL","NULL","NULL","79.6699981689453","2.89000010490417","1.75","19.6499996185302"
"110","Pima Community College","Tucson","AZ","32.222125","-110.886659","NULL","NULL","NULL","NULL","www.pima.edu","NULL","2046","7362",726600,"NULL","NULL","NULL","NULL","72.8199996948242","3.36999988555908","2","32.060001373291"
"111","Pima Medical Institute-Tucson","Tucson","AZ","32.2502","-110.921301","NULL","NULL","NULL","NULL","pmi.edu","NULL","NULL","NULL",2217100,"NULL","NULL","NULL","NULL","71.0100021362304","5.07000017166137","4.63000011444091","27.2099990844726"
"112","Pima Medical Institute-Albuquerque","Albuquerque","NM","35.104855","-106.59488","NULL","NULL","NULL","NULL","pmi.edu","NULL","NULL","NULL",2217103,"NULL","NULL","NULL","NULL","71.0100021362304","5.07000017166137","4.63000011444091","27.2099990844726"
"113","Prescott College","Prescott","AZ","34.5452","-112.477185","25","24","22","NULL","www.prescott.edu","0.6847","28943","28943",2065300,"1089","510","550","NULL","81.870002746582","3.27999997138977","2.61999988555908","15.369999885559"
"114","Refrigeration School Inc","Phoenix","AZ","33.448692","-111.989357","NULL","NULL","NULL","NULL","https://www.refrigerationschool.com","NULL","NULL","NULL",1168900,"NULL","NULL","NULL","NULL","70.5299987792968","4","1.87999999523162","27.6700000762939"
"115","Rio Salado College","Tempe","AZ","33.413309","-111.97417","NULL","NULL","NULL","NULL","www.rio.maricopa.edu","NULL","2094","7878",2177500,"NULL","NULL","NULL","NULL","77.120002746582","4.67000007629394","2.15000009536743","22.2900009155273"
