"","INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","INSTURL","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","OPEID","SAT_AVG","SATMTMID","SATVRMID","SATWRMID","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_HISPANIC"
"1902","Baptist Bible College","Springfield","MO","37.239696","-93.284286","NULL","NULL","NULL","NULL","www.gobbc.edu","NULL","10536","10536",1320800,"NULL","NULL","NULL","NULL","88.620002746582","4.40999984741211","1.0900000333786","6.3600001335144"
"1903","House of Heavilin Beauty College-Blue Springs","Blue Springs","MO","38.997932","-94.272412","NULL","NULL","NULL","NULL","kc-hair.com","NULL","NULL","NULL",2277500,"NULL","NULL","NULL","NULL","92.1100006103515","4.19999980926513","0.76999998092651","2.4300000667572"
"1904","Cox College","Springfield","MO","37.225116","-93.290233","NULL","NULL","NULL","NULL","www.coxcollege.edu","0.5926","11170","11170",2068200,"NULL","NULL","NULL","NULL","94.5500030517578","1.55999994277954","0.87000000476837","2.05999994277954"
"1905","Calvary University","Kansas City","MO","38.839578","-94.547927","23","23","22","NULL","www.calvary.edu","0.9773","11700","11700",245000,"1019","380","425","NULL","84.8600006103515","7.94999980926513","1.10000002384185","4.80999994277954"
"1906","Cape Girardeau Career and Technology Center","Cape Girardeau","MO","37.274001","-89.565366","NULL","NULL","NULL","NULL","www.capectc.org","NULL","NULL","NULL",553200,"NULL","NULL","NULL","NULL","91.0599975585937","6.76000022888183","0.46000000834465","0.91000002622604"
"1907","Central Christian College of the Bible","Moberly","MO","39.395963","-92.427259","22","20","19","NULL","www.cccb.edu","0.276","13700","13700",2266400,"1026","545","580","NULL","85.6999969482422","7.46000003814697","1.78999996185302","5.67999982833862"
"1908","Central Methodist University-College of Liberal Arts and Sciences","Fayette","MO","39.150497","-92.685253","22","22","21","NULL","www.centralmethodist.edu/","0.6103","23010","23010",245300,"1023","485","430","NULL","91.8799972534179","4.65999984741211","0.74000000953674","2.34999990463256"
"1909","Central Methodist University-College of Liberal Arts and Sciences","Fayette","MO","39.150497","-92.685253","22","22","21","NULL","www.centralmethodist.edu/","0.6103","23010","23010",245300,"1023","485","430","NULL","91.8799972534179","4.65999984741211","0.74000000953674","2.34999990463256"
"1910","University of Central Missouri","Warrensburg","MO","38.759111","-93.737428","23","22","22","NULL","www.ucmo.edu","0.7462","7322","13767",245400,"1050","NULL","NULL","NULL","89.0100021362304","6.96999979019165","0.95999997854232","2.51999998092651"
"1911","Grand River Technical School","Chillicothe","MO","39.798864","-93.559669","NULL","NULL","NULL","NULL","www.grts.org","0.7465","NULL","NULL",553100,"NULL","NULL","NULL","NULL","97.3199996948242","1.27999997138977","0.15999999642372","0.77999997138977"
"1912","Cleveland University-Kansas City","Overland Park","KS","38.932019","-94.679076","NULL","NULL","NULL","NULL","www.cleveland.edu","NULL","14840","14840",2090700,"NULL","NULL","NULL","NULL","84.0199966430664","8.73999977111816","1.86000001430511","5.19999980926513"
"1913","Columbia Area Career Center","Columbia","MO","38.903705","-92.33669","NULL","NULL","NULL","NULL","career-center.org/pce","0.7097","NULL","NULL",2289200,"NULL","NULL","NULL","NULL","86.5999984741211","8.42000007629394","2.15000009536743","1.75"
"1914","Columbia College","Columbia","MO","38.957388","-92.326354","NULL","NULL","NULL","NULL","www.ccis.edu","NULL","20936","20936",245600,"NULL","NULL","NULL","NULL","80.5800018310547","12.0900001525878","2.05999994277954","5.84000015258789"
"1915","Conception Seminary College","Conception","MO","40.24044","-94.682831","23","24","21","NULL","www.conception.edu","1","20706","20706",246700,"1050","NULL","NULL","NULL","88.9800033569336","4.13000011444091","0.97000002861022","4.80999994277954"
"1916","Concordia Seminary","Saint Louis","MO","38.637181","-90.311324","NULL","NULL","NULL","NULL","www.csl.edu","NULL","NULL","NULL",245700,"NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"1917","Cottey College","Nevada","MO","37.836127","-94.371311","24","25","21","NULL","www.cottey.edu","0.6872","19300","19300",245800,"1059","480","500","NULL","86.2099990844726","4.28000020980835","2.08999991416931","8.1899995803833"
"1918","Covenant Theological Seminary","Saint Louis","MO","38.643066","-90.451323","NULL","NULL","NULL","NULL","www.covenantseminary.edu","NULL","NULL","NULL",470700,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1919","Crowder College","Neosho","MO","36.814906","-94.368315","NULL","NULL","NULL","NULL","www.crowder.edu","NULL","2448","3552",245900,"NULL","NULL","NULL","NULL","93.2399978637695","0.81000000238418","0.38999998569488","3.63000011444091"
